"Matricula","Periodo","Media_Int","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Situacao","Discreta","P1","P2","Grafos","TC","Eda","IC","GI","Leda","LP1","LP2"
"B1028",2011.1,86,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,86,0,0,0,0,0,0,0,0,0
"B1028",2011.1,86,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,86,0,0,0,0
"B1028",2011.1,88,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,88,0
"B1028",2011.2,52,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",52,0,0,0,0,0,0,0,0,0,0
"B1028",2011.2,58,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,58
"B1028",2011.2,77,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,77,0,0,0,0,0,0,0,0
"B1028",2011.2,89,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,89,0,0,0,0,0,0,0
"B1028",2012.1,70,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Aprovado",0,0,0,0,70,0,0,0,0,0,0
"B1028",2012.1,70,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,70,0,0,0,0,0
"B1028",2012.1,70,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,70,0,0,0
"B1028",2012.1,75,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,75,0,0
"B10284",2012.1,72,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,72,0,0,0,0,0,0,0,0,0
"B10284",2012.1,72,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,72,0
"B10284",2012.1,84,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,84,0,0,0,0
"B10284",2012.2,58,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,58,0,0,0,0,0,0,0
"B10284",2012.2,75,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",75,0,0,0,0,0,0,0,0,0,0
"B10284",2012.2,76,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,76
"B10284",2012.2,78,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,78,0,0,0,0,0,0,0,0
"B10284",2013.1,69,1411171,0,"TEORIA.DA.COMPUTAÇÃO","Aprovado",0,0,0,0,69,0,0,0,0,0,0
"B10284",2013.1,70,1411172,0,"ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,70,0,0,0,0,0
"B10284",2013.1,70,1411176,0,"GERÊNCIA.DA.INFORMAÇÃO","Aprovado",0,0,0,0,0,0,0,70,0,0,0
"B10284",2013.1,72,1411179,0,"LAB.DE.ESTRUTURA.DE.DADOS.E.ALGORITMOS","Aprovado",0,0,0,0,0,0,0,0,72,0,0
"B10296",2007.1,0,1411167,1,"PROGRAMAÇÃO.I","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10296",2007.1,0,1411174,1,"INTRODUÇÃO.A.COMPUTAÇÃO","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10296",2007.1,0,1411180,1,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Reprovado",0,0,0,0,0,0,0,0,0,0,0
"B10297",2004.1,57,1411167,0,"PROGRAMAÇÃO.I","Aprovado",0,57,0,0,0,0,0,0,0,0,0
"B10297",2004.1,76,1411180,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.I","Aprovado",0,0,0,0,0,0,0,0,0,76,0
"B10297",2004.1,86,1411174,0,"INTRODUÇÃO.A.COMPUTAÇÃO","Aprovado",0,0,0,0,0,0,86,0,0,0,0
"B10297",2004.2,58,1411168,0,"PROGRAMAÇÃO.II","Aprovado",0,0,58,0,0,0,0,0,0,0,0
"B10297",2004.2,78,1109113,0,"MATEMÁTICA.DISCRETA","Aprovado",78,0,0,0,0,0,0,0,0,0,0
"B10297",2004.2,78,1411170,0,"TEORIA.DOS.GRAFOS","Aprovado",0,0,0,78,0,0,0,0,0,0,0
"B10297",2004.2,82,1411181,0,"LABORATÓRIO.DE.PROGRAMAÇÃO.II","Aprovado",0,0,0,0,0,0,0,0,0,0,82
