"Matricula","Cod_Disciplina","Cod_Evasao","Nome_Disciplina","Media_Disciplina","Periodo","Situacao"
"B5126",1114114,0,"METODOS ESTATISTICOS",7,2003.2,"Aprovado"
"B5126",1411183,0,"LABORATÓRIO DE ENGENHARIA DE SOFTWARE",8.4,2004.2,"Aprovado"
"B5126",1411222,0,"SISTEMAS DISTRIBUIDOS",9.2,2005.2,"Aprovado"
"B5126",1411182,0,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",8.7,2003.2,"Aprovado"
"B5126",1109113,0,"MATEMÁTICA DISCRETA",7.2,2002.2,"Aprovado"
"B5126",1411186,0,"PROJETO EM COMPUTAÇÃO II",9,2006.2,"Aprovado"
"B5126",1411184,0,"LAB.DE INTERCON.DE REDES DE COMPUTADORES",7.6,2004.2,"Aprovado"
"B5126",1411243,0,"TECC(ALGORITMOS AVANÇADOS I )",10,2003.2,"Aprovado"
"B5126",1411235,0,"TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS)",9.3,2005.1,"Aprovado"
"B5126",1411175,0,"ORG.E ARQUITETURA DE COMPUTADORES I",8.3,2003.2,"Aprovado"
"B5126",1305218,0,"METODOLOGIA CIENTÍFICA",8.5,2005.1,"Aprovado"
"B5126",1411203,0,"ESTÁGIO INTEGRADO",9.5,2006.1,"Aprovado"
"B5126",1411255,0,"TECC(LAB DE SISTEMAS OPERACIONAIS)",10,2005.2,"Aprovado"
"B5126",1411250,0,"TECC(ALGORITMOS  AVANÇADOS III )",10,2004.1,"Aprovado"
"B5126",1109035,0,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA",10,2002.1,"Aprovado"
"B5126",1411168,0,"PROGRAMAÇÃO II",7.9,2002.2,"Aprovado"
"B5126",1109103,0,"CALCULO DIFERENCIAL E INTEGRAL I",8.5,2002.1,"Aprovado"
"B5126",1411179,0,"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS",9.2,2003.1,"Aprovado"
"B5126",1411170,0,"TEORIA DOS GRAFOS",9.1,2002.2,"Aprovado"
"B5126",1411195,0,"SISTEMAS DE INFORMAÇÃO II",8.9,2003.2,"Aprovado"
"B5126",1108089,0,"FUNDAMENTOS DE FÍSICA CLÁSSICA",7.8,2002.2,"Aprovado"
"B5126",1411244,0,"TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃ",7,2004.1,"Aprovado"
"B5126",1305220,0,"INFORMÁTICA E SOCIEDADE",8.2,2005.1,"Aprovado"
"B5126",1411177,0,"ENGENHARIA DE SOFTWARE I",8.6,2003.2,"Aprovado"
"B5126",1411189,0,"COMPILADORES",5,2004.1,"Aprovado"
"B5126",1411194,0,"BANCO DE DADOS II",9.1,2005.1,"Aprovado"
"B5126",1411196,0,"INTELIGENCIA ARTIFICIAL I",7.1,2004.2,"Aprovado"
"B5126",1305219,0,"DIREITO E CIDADANIA",7,2004.2,"Aprovado"
"B5126",1411188,0,"MÉTODOS E SOFTWARE NUMÉRICOS",9.1,2005.2,"Aprovado"
"B5126",1411238,0,"SEMINÁRIOS (EDUCAÇÃO AMBIENTAL)",9,2005.1,"Aprovado"
"B5126",1411191,0,"INTERCONEXÃO DE REDES DE COMPUTADORES",7.6,2004.2,"Aprovado"
"B5126",1307151,0,"LEITURA E PRODUCAO DE TEXTOS",8.8,2002.1,"Aprovado"
"B5126",1411251,0,"TECC(ALGORITMOS  AVANÇADOS IV)",10,2004.2,"Aprovado"
"B5126",1411167,0,"PROGRAMAÇÃO I",9.3,2002.1,"Aprovado"
"B5126",1411187,0,"ANÁLISE E TÉCNICA DE ALGORITMOS",8.4,2004.1,"Aprovado"
"B5126",1411171,0,"TEORIA DA COMPUTAÇÃO",5.3,2003.1,"Aprovado"
"B5126",1411236,0,"TECC (SISTEMAS DE APOIO A DECISÃO)",9.9,2005.2,"Aprovado"
"B5126",1411190,0,"REDES DE COMPUTADORES",7.5,2004.1,"Aprovado"
"B5126",1411185,0,"PROJETO EM COMPUTAÇÃO I",8.7,2005.2,"Aprovado"
"B5126",1411193,0,"BANCO DE DADOS I",5.8,2004.2,"Aprovado"
"B5126",1411178,0,"SISTEMAS DE INFORMAÇÃO I",8.5,2003.1,"Aprovado"
"B5126",1411174,0,"INTRODUÇÃO A COMPUTAÇÃO",9.4,2002.1,"Aprovado"
"B10300",1305218,0,"METODOLOGIA CIENTÍFICA",8.8,2002.2,"Aprovado"
"B10300",1109103,0,"CALCULO DIFERENCIAL E INTEGRAL I",7,2002.1,"Aprovado"
"B10300",1411173,0,"LÓGICA MATEMÁTICA",7.1,2003.2,"Aprovado"
"B10300",1411182,0,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",0,2005.1,"Reprovado por Falta"
"B10300",1411170,0,"TEORIA DOS GRAFOS",7.9,2002.2,"Aprovado"
"B10300",1411194,0,"BANCO DE DADOS II",4.7,2004.2,"Reprovado"
"B10300",1114107,0,"PROBABILIDADE E ESTATISTICA",6.9,2004.2,"Aprovado"
"B10300",1411171,0,"TEORIA DA COMPUTAÇÃO",6.1,2003.1,"Aprovado"
"B10300",1411256,1,"TEC(PRINCIPIOS DE ADMIN FINANCEIRA)",2.3,2005.2,"Reprovado"
"B10300",1305220,0,"INFORMÁTICA E SOCIEDADE",9.2,2002.1,"Aprovado"
"B10300",1114107,0,"PROBABILIDADE E ESTATISTICA",0,2004.1,"Reprovado por Falta"
"B10300",1411177,0,"ENGENHARIA DE SOFTWARE I",0,2005.1,"Reprovado por Falta"
"B10300",1411175,0,"ORG.E ARQUITETURA DE COMPUTADORES I",0,2005.1,"Reprovado por Falta"
"B10300",1108089,0,"FUNDAMENTOS DE FÍSICA CLÁSSICA",7.5,2002.2,"Aprovado"
"B10300",1411167,0,"PROGRAMAÇÃO I",8.3,2002.1,"Aprovado"
"B10300",1114114,0,"METODOS ESTATISTICOS",0,2005.1,"Reprovado por Falta"
"B10300",1109035,0,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA",8.2,2002.1,"Aprovado"
"B10300",1411201,0,"EMPREENDEDORISMO",9,2005.1,"Aprovado"
"B10300",1114107,0,"PROBABILIDADE E ESTATISTICA",0,2003.2,"Reprovado por Falta"
"B10300",1411194,1,"BANCO DE DADOS II",5.1,2005.2,"Aprovado"
"B10300",1411195,0,"SISTEMAS DE INFORMAÇÃO II",6.1,2004.1,"Aprovado"
"B10300",1411182,1,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",0,2005.2,"Reprovado por Falta"
"B10300",1411174,0,"INTRODUÇÃO A COMPUTAÇÃO",7.8,2002.1,"Aprovado"
"B10300",1411178,0,"SISTEMAS DE INFORMAÇÃO I",7,2003.2,"Aprovado"
"B10300",1411193,0,"BANCO DE DADOS I",6.5,2004.1,"Aprovado"
"B10300",1411172,0,"ESTRUTURA DE DADOS E ALGORITMOS",7,2003.1,"Aprovado"
"B10300",1114107,0,"PROBABILIDADE E ESTATISTICA",3.2,2003.1,"Reprovado"
"B10300",1108090,0,"FUNDAMENTOS DE FÍSICA MODERNA",4.1,2003.1,"Reprovado"
"B10300",1411187,0,"ANÁLISE E TÉCNICA DE ALGORITMOS",0,2004.1,"Reprovado por Falta"
"B10300",1109113,0,"MATEMÁTICA DISCRETA",7,2002.2,"Aprovado"
"B10300",1108090,0,"FUNDAMENTOS DE FÍSICA MODERNA",5.5,2003.2,"Aprovado"
"B10300",1411177,1,"ENGENHARIA DE SOFTWARE I",5.6,2005.2,"Aprovado"
"B10300",1307151,0,"LEITURA E PRODUCAO DE TEXTOS",7.6,2002.1,"Aprovado"
"B10300",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",9.7,2002.1,"Aprovado"
"B10300",1411179,0,"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS",7,2003.1,"Aprovado"
"B10300",1411187,0,"ANÁLISE E TÉCNICA DE ALGORITMOS",2.8,2004.2,"Reprovado"
"B10300",1411181,0,"LABORATÓRIO DE PROGRAMAÇÃO II",9.1,2002.2,"Aprovado"
"B10300",1411169,0,"PARADIGMAS DE LING. DE PROGRAMAÇÃO",6.6,2003.2,"Aprovado"
"B10300",1411235,0,"TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS)",9.6,2005.1,"Aprovado"
"B10300",1411175,1,"ORG.E ARQUITETURA DE COMPUTADORES I",0,2005.2,"Reprovado por Falta"
"B10300",1411176,0,"GERÊNCIA DA INFORMAÇÃO",6.1,2003.1,"Aprovado"
"B10300",1411168,0,"PROGRAMAÇÃO II",8.4,2002.2,"Aprovado"
"B17587",1411178,0,"SISTEMAS DE INFORMAÇÃO I",9,2003.2,"Aprovado"
"B17587",1411185,0,"PROJETO EM COMPUTAÇÃO I",8.8,2005.1,"Aprovado"
"B17587",1109113,0,"MATEMÁTICA DISCRETA",7.1,2002.2,"Aprovado"
"B17587",1411172,0,"ESTRUTURA DE DADOS E ALGORITMOS",5.3,2003.1,"Aprovado"
"B17587",1411264,0,"TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS)",6.7,2006.1,"Aprovado"
"B17587",1114114,0,"METODOS ESTATISTICOS",7,2004.1,"Aprovado"
"B17587",1411189,0,"COMPILADORES",7.5,2004.2,"Aprovado"
"B17587",1411190,0,"REDES DE COMPUTADORES",8,2004.1,"Aprovado"
"B17587",1411210,0,"MARKETING PARA INFORMÁTICA",8.8,2006.1,"Aprovado"
"B17587",1411183,0,"LABORATÓRIO DE ENGENHARIA DE SOFTWARE",7.8,2004.2,"Aprovado"
"B17587",1411168,0,"PROGRAMAÇÃO II",7.1,2002.2,"Aprovado"
"B17587",1114107,0,"PROBABILIDADE E ESTATISTICA",5.7,2003.1,"Aprovado"
"B17587",1307151,0,"LEITURA E PRODUCAO DE TEXTOS",8.1,2002.1,"Aprovado"
"B17587",1301014,0,"ADMINISTRAÇÃO",8.3,2006.1,"Aprovado"
"B17587",1109103,0,"CALCULO DIFERENCIAL E INTEGRAL I",8.3,2002.1,"Aprovado"
"B17587",1305218,0,"METODOLOGIA CIENTÍFICA",8.2,2002.2,"Aprovado"
"B17587",1411177,0,"ENGENHARIA DE SOFTWARE I",8.2,2003.2,"Aprovado"
"B17587",1411180,0,"LABORATÓRIO DE PROGRAMAÇÃO I",9.2,2002.1,"Aprovado"
"B17587",1411181,0,"LABORATÓRIO DE PROGRAMAÇÃO II",9.2,2002.2,"Aprovado"
"B17587",1108090,0,"FUNDAMENTOS DE FÍSICA MODERNA",7.6,2003.1,"Aprovado"
"B17587",1411170,0,"TEORIA DOS GRAFOS",8.2,2002.2,"Aprovado"
"B17587",1411193,0,"BANCO DE DADOS I",7,2004.1,"Aprovado"
"B17587",1411167,0,"PROGRAMAÇÃO I",8.5,2002.1,"Aprovado"
"B17587",1411195,0,"SISTEMAS DE INFORMAÇÃO II",8.8,2004.1,"Aprovado"
"B17587",1411203,0,"ESTÁGIO INTEGRADO",9,2006.1,"Aprovado"
"B17587",1305219,0,"DIREITO E CIDADANIA",9,2004.2,"Aprovado"
"B17587",1411182,0,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",8.8,2003.2,"Aprovado"
"B17587",1411262,0,"TECC (ARQUITETURA DE SIST. EMBUTIDOS)",9.2,2005.2,"Aprovado"
"B17587",1411238,0,"SEMINÁRIOS (EDUCAÇÃO AMBIENTAL)",9,2005.2,"Aprovado"
"B17587",1411187,0,"ANÁLISE E TÉCNICA DE ALGORITMOS",7,2004.1,"Aprovado"
"B17587",1411171,0,"TEORIA DA COMPUTAÇÃO",5.6,2003.1,"Aprovado"
"B17587",1411169,0,"PARADIGMAS DE LING. DE PROGRAMAÇÃO",7.8,2003.2,"Aprovado"
"B17587",1411202,0,"ENGENHARIA DE SOFTWARE II",8.1,2004.2,"Aprovado"
"B17587",1411175,0,"ORG.E ARQUITETURA DE COMPUTADORES I",7,2003.2,"Aprovado"
"B17587",1411196,0,"INTELIGENCIA ARTIFICIAL I",8.1,2005.2,"Aprovado"
"B17587",1411179,0,"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS",7.1,2003.1,"Aprovado"
"B17587",1411201,0,"EMPREENDEDORISMO",9,2005.1,"Aprovado"
"B17587",1301078,0,"GESTAO DA QUALIDADE",9.1,2005.2,"Aprovado"
"B17587",1411235,0,"TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS)",9.6,2005.1,"Aprovado"
"B17587",1305220,0,"INFORMÁTICA E SOCIEDADE",9.2,2002.1,"Aprovado"
"B17587",1411194,0,"BANCO DE DADOS II",7.8,2004.2,"Aprovado"
"B17587",1411174,0,"INTRODUÇÃO A COMPUTAÇÃO",7.7,2002.1,"Aprovado"
"B17587",1411186,0,"PROJETO EM COMPUTAÇÃO II",9,2005.2,"Aprovado"
"B17587",1411176,0,"GERÊNCIA DA INFORMAÇÃO",8.5,2003.1,"Aprovado"
"B17587",1108089,0,"FUNDAMENTOS DE FÍSICA CLÁSSICA",7.3,2002.2,"Aprovado"
"B17587",1411184,0,"LAB.DE INTERCON.DE REDES DE COMPUTADORES",7.5,2004.2,"Aprovado"
"B17587",1411192,0,"SISTEMAS OPERACIONAIS",7.8,2005.1,"Aprovado"
"B17587",1411197,0,"AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS",8.4,2005.2,"Aprovado"
"B17587",1411173,0,"LÓGICA MATEMÁTICA",6.3,2003.2,"Aprovado"
"B17587",1109035,0,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA",8.6,2002.1,"Aprovado"
"B17587",1411191,0,"INTERCONEXÃO DE REDES DE COMPUTADORES",7.5,2004.2,"Aprovado"
"B17587",1411188,0,"MÉTODOS E SOFTWARE NUMÉRICOS",8,2005.1,"Aprovado"
"B691",1411167,0,"PROGRAMAÇÃO I",0,2002.2,"Reprovado por Falta"
