"Matricula","Periodo","Periodo_Curso","P1","P2","LP1","IC","LP2","Discreta","Eda","Leda","Grafos","TC"
"B11563",2010.1,1,83,0,88,98,0,0,0,0,0,0
"B11563",2010.2,2,0,88,0,0,83,89,0,0,88,0
"B11563",2011.1,3,0,0,0,0,0,0,81,88,0,82
"B11568",2010.2,1,26,0,21,50,0,0,0,0,0,0
"B11568",2011.1,1,72,0,71,0,0,0,0,0,0,0
"B11568",2011.2,2,0,65,0,0,46,30,0,0,58,0
"B11568",2012.1,2,0,0,0,0,52,0,0,0,0,0
"B11568",2012.2,2,0,0,0,0,0,52,0,0,0,0
"B11568",2012.2,3,0,0,0,0,0,0,25,29,0,0
"B11568",2013.1,3,0,0,0,0,0,0,74,71,0,66
"B11635",2013.2,1,200,0,200,200,0,0,0,0,0,0
"B11645",2012.2,1,200,0,28,200,0,0,0,0,0,0
"B11669",2005.2,1,34,0,40,75,0,0,0,0,0,0
"B11669",2006.1,1,70,0,72,0,0,0,0,0,0,0
"B11669",2006.2,2,0,59,0,0,82,50,0,0,50,0
"B11669",2007.1,3,0,0,0,0,0,0,43,64,0,31
"B11669",2007.2,3,0,0,0,0,0,0,74,0,0,35
"B11669",2008.1,3,0,0,0,0,0,0,0,0,0,50
"B1167",2010.2,1,27,0,20,76,0,0,0,0,0,0
"B1167",2011.1,1,72,0,70,0,0,0,0,0,0,0
"B1167",2011.2,2,0,7,0,0,4,200,0,0,38,0
"B1167",2012.1,2,0,200,0,0,7,0,0,0,0,0
"B11671",2006.2,1,95,0,97,79,0,0,0,0,0,0
"B11671",2007.1,2,0,84,0,0,92,36,0,0,60,0
"B11671",2007.2,2,0,0,0,0,0,62,0,0,0,0
"B11671",2007.2,3,0,0,0,0,0,0,77,76,0,0
"B11671",2008.1,3,0,0,0,0,0,0,0,0,0,63
"B11719",2010.2,1,17,0,13,36,0,0,0,0,0,0
"B11719",2011.1,1,37,0,35,44,0,0,0,0,0,0
"B11758",2012.1,1,71,0,72,79,0,0,0,0,0,0
"B11758",2012.2,2,0,51,0,0,28,9,0,0,53,0
"B11758",2013.1,2,0,0,0,0,200,200,0,0,0,0
"B11765",2011.2,1,70,0,72,70,0,0,0,0,0,0
"B11765",2012.1,2,0,18,0,0,14,42,0,0,78,0
"B11765",2012.2,2,0,15,0,0,18,58,0,0,0,0
"B11765",2013.1,2,0,70,0,0,57,0,0,0,0,0
"B11765",2013.2,3,0,0,0,0,0,0,26,200,0,52
"B11765",2014.1,3,0,0,0,0,0,0,57,53,0,0
"B11773",2007.1,1,97,0,97,97,0,0,0,0,0,0
"B11773",2007.2,2,0,88,0,0,87,78,0,0,81,0
"B11773",2008.1,3,0,0,0,0,0,0,79,93,0,85
